Job Title,Job Location,Company,Estimate Base Salary,Low Estimate,High Estimate,Company Size,Company Type,Company Sector,Company Founded,Company Industry,Company Revenue,Company Rating,Company Friend Reccomendation,Company CEO Approval,Companny Number of Rater,Company Career Opportinities,Compensation and Benefits,Company Culture and Values,Company Senior Management,Company Work Life Balance,Country,State,python_yn,r_yn,sql_yn,java_yn,julia_yn,scala_yn,c_yn,c++_yn,javascript_yn,spark_yn,hadoop_yn,matlab_yn,sas_yn,git_yn,excel_yn,nosql_yn,aws_yn,mongodb_yn,cassandra_yn,hive_yn,bigml_yn,tableau_yn,powerbi_yn,nlp_yn,pytorch_yn,tensorflow_yn,mathematic_yn,statistic_yn
Data Analyst,Sydney,Hearts & Science,50400,40000,64000,1001 to 5000 Employees,Company - Public,Media & Communication,2015.0,Advertising & Public Relations,$2 to $5 billion (USD),3.4,53.0,72.0,25.0,3.4,3.1,3.5,3.1,2.9,Australia,New South Wales,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Graduate Research Fellow,Sydney,CSIRO,90951,88000,94000,5001 to 10000 Employees,Government,Government & Public Administration,1926.0,National Services & Agencies,$500 million to $1 billion (USD),3.8,68.0,58.0,145.0,3.4,3.4,3.5,3.0,4.1,Australia,New South Wales,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Center Technician,Sydney,IBM,74174,69000,80000,10000+ Employees,Company - Public,Information Technology,1911.0,Information Technology Support Services,$10+ billion (USD),4.0,74.0,86.0,52.0,4.0,3.5,4.1,3.6,4.1,Australia,New South Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Center Technician,Sydney,IBM,74174,69000,80000,10000+ Employees,Company - Public,Information Technology,1911.0,Information Technology Support Services,$10+ billion (USD),4.1,84.0,85.0,9121.0,4.0,3.5,4.1,3.6,4.1,Australia,New South Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Center Technician,Sydney,IBM,74174,69000,80000,10000+ Employees,Company - Public,Information Technology,1911.0,Information Technology Support Services,$10+ billion (USD),4.1,84.0,85.0,9121.0,4.0,3.5,4.1,3.6,4.1,Australia,New South Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Sydney,Commonwealth Bank,102762,88000,120000,10000+ Employees,Company - Public,Finance,1911.0,Banking & Lending,$5 to $10 billion (USD),4.1,85.0,90.0,1603.0,4.0,3.8,4.1,3.7,4.0,Australia,New South Wales,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Data Analyst,Sydney,Commonwealth Bank,102762,88000,120000,10000+ Employees,Company - Public,Finance,1911.0,Banking & Lending,$5 to $10 billion (USD),4.1,85.0,90.0,1603.0,4.0,3.8,4.1,3.7,4.0,Australia,New South Wales,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Data Center Technician,Sydney,IBM,74174,69000,80000,10000+ Employees,Company - Public,Information Technology,1911.0,Information Technology Support Services,$10+ billion (USD),4.1,84.0,85.0,9121.0,4.0,3.5,4.1,3.6,4.1,Australia,New South Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Sydney,Commonwealth Bank,102762,88000,120000,10000+ Employees,Company - Public,Finance,1911.0,Banking & Lending,$5 to $10 billion (USD),4.1,85.0,90.0,1603.0,4.0,3.8,4.1,3.7,4.0,Australia,New South Wales,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Machine Learning Engineer,Sydney,Deloitte,99800,80000,125000,10000+ Employees,Company - Private,Finance,1850.0,Accounting & Tax,$10+ billion (USD),4.0,82.0,87.0,10725.0,4.1,3.6,4.0,3.7,3.2,Australia,New South Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Machine Learning Engineer,Sydney,Deloitte,99800,80000,125000,10000+ Employees,Company - Private,Finance,1850.0,Accounting & Tax,$10+ billion (USD),4.0,82.0,87.0,10725.0,4.1,3.6,4.0,3.7,3.2,Australia,New South Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Machine Learning Engineer,Sydney,Deloitte,99800,80000,125000,10000+ Employees,Company - Private,Finance,1850.0,Accounting & Tax,$10+ billion (USD),4.0,82.0,87.0,10725.0,4.1,3.6,4.0,3.7,3.2,Australia,New South Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Sydney,Commonwealth Bank,102762,88000,120000,10000+ Employees,Company - Public,Finance,1911.0,Banking & Lending,$5 to $10 billion (USD),4.1,85.0,90.0,1603.0,4.0,3.8,4.1,3.7,4.0,Australia,New South Wales,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Machine Learning Engineer,Sydney,Deloitte,99800,80000,125000,10000+ Employees,Company - Private,Finance,1850.0,Accounting & Tax,$10+ billion (USD),4.0,82.0,87.0,10725.0,4.1,3.6,4.0,3.7,3.2,Australia,New South Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Associate Engineer,Sydney,Commonwealth Bank,144914,120000,175000,10000+ Employees,Company - Public,Finance,1911.0,Banking & Lending,$5 to $10 billion (USD),4.1,85.0,90.0,1603.0,4.0,3.8,4.1,3.7,4.0,Australia,New South Wales,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Sydney,VGW,149287,134000,167000,501 to 1000 Employees,Company - Private,Information Technology,2010.0,Internet & Web Services,Unknown / Non-Applicable,4.0,77.0,93.0,80.0,3.9,3.9,4.1,3.8,4.2,Australia,New South Wales,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Graduate Data Scientist,North Shore,UGL Limited,116841,97000,141000,5001 to 10000 Employees,Subsidiary or Business Segment,"Construction, Repair & Maintenance Services",1984.0,Construction,Unknown / Non-Applicable,3.8,79.0,73.0,52.0,3.5,3.6,3.5,3.2,3.4,Australia,New South Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Sydney,MALTEM Australia,170000,170000,170000,1001 to 5000 Employees,Company - Private,Management & Consulting,2001.0,Business Consulting,$50 to $100 million (USD),3.8,76.0,75.0,52.0,3.9,3.7,3.6,3.6,3.9,Australia,New South Wales,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Graduate Technology Associate,Sydney,Infosys,72675,62000,85000,5001 to 10000 Employees,Company - Public,Information Technology,1981.0,Information Technology Support Services,$10+ billion (USD),3.8,79.0,88.0,19272.0,3.8,3.0,4.0,3.5,3.7,Australia,New South Wales,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junior IT Support Analyst,Sydney,Give A Grad A Go,68000,68000,68000,1 to 50 Employees,Company - Private,Human Resources & Staffing,2009.0,HR Consulting,$1 to $5 million (USD),4.8,95.0,95.0,17.0,4.6,4.5,4.7,4.7,4.7,Australia,New South Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Sydney,Hearts & Science,50400,40000,64000,1001 to 5000 Employees,Company - Public,Media & Communication,2015.0,Advertising & Public Relations,$2 to $5 billion (USD),3.4,53.0,72.0,25.0,3.4,3.1,3.5,3.1,2.9,Australia,New South Wales,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
IT Support Analyst,Sydney,Give A Grad A Go,68000,68000,68000,1 to 50 Employees,Company - Private,Human Resources & Staffing,2009.0,HR Consulting,$1 to $5 million (USD),4.8,95.0,95.0,17.0,4.6,4.5,4.7,4.7,4.7,Australia,New South Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Engineer,Sydney,Give A Grad A Go,68000,68000,68000,1 to 50 Employees,Company - Private,Human Resources & Staffing,2009.0,HR Consulting,$1 to $5 million (USD),4.8,95.0,95.0,17.0,4.6,4.5,4.7,4.7,4.7,Australia,New South Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT Support Analyst,Sydney,Give A Grad A Go,68000,68000,68000,1 to 50 Employees,Company - Private,Human Resources & Staffing,2009.0,HR Consulting,$1 to $5 million (USD),4.8,95.0,95.0,17.0,4.6,4.5,4.7,4.7,4.7,Australia,New South Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Center Technician,Sydney,IBM,74174,69000,80000,10000+ Employees,Company - Public,Information Technology,1911.0,Information Technology Support Services,$10+ billion (USD),4.0,74.0,86.0,52.0,4.0,3.5,4.1,3.6,4.1,Australia,New South Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Graduate Data Scientist,North Shore,UGL Limited,116841,97000,141000,5001 to 10000 Employees,Subsidiary or Business Segment,"Construction, Repair & Maintenance Services",1984.0,Construction,Unknown / Non-Applicable,3.8,79.0,73.0,52.0,3.5,3.6,3.5,3.2,3.4,Australia,New South Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Sydney,Commonwealth Bank,102762,88000,120000,10000+ Employees,Company - Public,Finance,1911.0,Banking & Lending,$5 to $10 billion (USD),4.1,85.0,90.0,1603.0,4.0,3.8,4.1,3.7,4.0,Australia,New South Wales,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Junior Trader,Wollongong,Tibra Capital,115000,115000,115000,1 to 50 Employees,Company - Private,Finance,2006.0,Investment & Asset Management,Unknown / Non-Applicable,3.1,38.0,36.0,15.0,2.7,2.8,2.5,2.4,2.7,Australia,New South Wales,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Machine Learning Engineer,Sydney,Deloitte,99800,80000,125000,10000+ Employees,Company - Private,Finance,1850.0,Accounting & Tax,$10+ billion (USD),4.0,82.0,87.0,10725.0,4.1,3.6,4.0,3.7,3.2,Australia,New South Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Sydney,Aon,84429,68000,104000,10000+ Employees,Company - Public,Insurance,1892.0,Insurance Agencies & Brokerages,$10+ billion (USD),3.9,79.0,86.0,2330.0,3.7,3.5,3.9,3.6,3.7,Australia,New South Wales,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
Data Engineer,Sydney,AMP Limited,155763,140000,173000,5001 to 10000 Employees,Company - Public,Finance,1849.0,Investment & Asset Management,$5 to $10 billion (USD),3.3,54.0,12.0,5.0,3.0,3.1,3.2,2.7,3.9,Australia,New South Wales,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Sydney,Kaplan Australia,120181,100000,144000,10000+ Employees,Subsidiary or Business Segment,Education,1938.0,Education Support & Training Services,$2 to $5 billion (USD),3.6,61.0,75.0,241.0,3.2,3.2,3.6,3.3,3.6,Australia,New South Wales,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Data Scientist,Sydney,MALTEM Australia,170000,170000,170000,1001 to 5000 Employees,Company - Private,Management & Consulting,2001.0,Business Consulting,$50 to $100 million (USD),3.8,76.0,75.0,52.0,3.9,3.7,3.6,3.6,3.9,Australia,New South Wales,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Compliance Officer,Newcastle,University of Newcastle,86983,83000,91000,5001 to 10000 Employees,College / University,Education,1965.0,Colleges & Universities,$500 million to $1 billion (USD),4.2,85.0,75.0,33.0,3.8,3.9,4.2,3.7,4.1,Australia,New South Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Sydney,Hearts & Science,50400,40000,64000,1001 to 5000 Employees,Company - Public,Media & Communication,2015.0,Advertising & Public Relations,$2 to $5 billion (USD),3.4,53.0,72.0,25.0,3.4,3.1,3.5,3.1,2.9,Australia,New South Wales,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Summer Consultant,Sydney,Deloitte,80200,67000,96000,10000+ Employees,Company - Private,Finance,1850.0,Accounting & Tax,$10+ billion (USD),4.0,82.0,87.0,10725.0,4.1,3.6,4.0,3.7,3.2,Australia,New South Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Graduate Research Fellow,Sydney,CSIRO,90951,88000,94000,5001 to 10000 Employees,Government,Government & Public Administration,1926.0,National Services & Agencies,$500 million to $1 billion (USD),3.8,68.0,58.0,145.0,3.4,3.4,3.5,3.0,4.1,Australia,New South Wales,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Machine Learning Engineer,Sydney,Accenture,107108,90000,127000,10000+ Employees,Company - Public,Management & Consulting,1989.0,Business Consulting,$10+ billion (USD),3.9,76.0,85.0,245.0,4.0,3.4,3.8,3.4,3.2,Australia,New South Wales,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
Business Analyst,Sydney,Samsung Electronics,83427,58000,120000,1001 to 5000 Employees,Subsidiary or Business Segment,Information Technology,1938.0,Computer Hardware Development,$10+ billion (USD),3.4,57.0,60.0,108.0,3.1,3.8,3.0,2.9,2.7,Australia,New South Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Center Technician,Sydney,IBM,74174,69000,80000,10000+ Employees,Company - Public,Information Technology,1911.0,Information Technology Support Services,$10+ billion (USD),4.0,74.0,86.0,52.0,4.0,3.5,4.1,3.6,4.1,Australia,New South Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Sydney,Commonwealth Bank,102762,88000,120000,10000+ Employees,Company - Public,Finance,1911.0,Banking & Lending,$5 to $10 billion (USD),4.1,85.0,90.0,1603.0,4.0,3.8,4.1,3.7,4.0,Australia,New South Wales,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Machine Learning Engineer,Sydney,Deloitte,99800,80000,125000,10000+ Employees,Company - Private,Finance,1850.0,Accounting & Tax,$10+ billion (USD),4.0,82.0,87.0,10725.0,4.1,3.6,4.0,3.7,3.2,Australia,New South Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Software Engineer,Australia,Indeed,212000,173000,251000,5001 to 10000 Employees,Company - Private,Information Technology,2004.0,Internet & Web Services,$2 to $5 billion (USD),4.4,90.0,94.0,1020.0,4.1,4.3,4.5,4.1,4.5,Australia,Northern Territory,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Business Analyst,Darwin,RPS Group,80944,63000,104000,5001 to 10000 Employees,Company - Public,Management & Consulting,1970.0,Business Consulting,$500 million to $1 billion (USD),3.4,62.0,75.0,574.0,3.8,3.4,3.8,3.6,3.9,Australia,Northern Territory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Site Manager,Darwin,QinetiQ,84025,78000,91000,1001 to 5000 Employees,Company - Private,Aerospace & Defence,2001.0,Aerospace & Defence,$1 to $2 billion (USD),3.0,54.0,51.0,64.0,3.7,3.2,4.0,3.5,4.3,Australia,Northern Territory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mechanic,Australia,DAC Enterprises Pty Ltd,70000,60000,80000,10000+ Employees,Company - Public,Retail & Wholesale,1969.0,Wholesale,$10+ billion (USD),3.3,58.0,66.0,504.0,3.3,3.6,3.2,3.0,2.7,Australia,Northern Territory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Senior Software Developer,Darwin,TekWissen LLC,136900,114000,164000,501 to 1000 Employees,Company - Private,Management & Consulting,2009.0,Business Consulting,$50 to $100 million (USD),4.4,92.0,67.0,44.0,4.2,3.7,4.3,4.3,4.3,Australia,Northern Territory,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Principal Support Engineer,Alice Springs,Northrop Grumman UK,115000,92000,138000,10000+ Employees,Company - Public,Aerospace & Defence,1939.0,Aerospace & Defence,$10+ billion (USD),4.0,81.0,80.0,1813.0,3.9,3.8,3.8,3.4,4.0,Australia,Northern Territory,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Graduate Data Scientist,Brisbane,Aurizon,128589,117000,141000,1001 to 5000 Employees,Company - Public,Transportation & Logistics,2009.0,Taxi & Car Services,$2 to $5 billion (USD),3.7,74.0,75.0,47.0,3.4,4.1,3.4,3.1,3.2,Australia,Queensland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Technical Fellow, Job Seeker",Australia,Indeed,295000,241000,349000,5001 to 10000 Employees,Company - Private,Information Technology,2004.0,Internet & Web Services,$2 to $5 billion (USD),4.4,90.0,94.0,1020.0,4.1,4.3,4.5,4.1,4.5,Australia,Queensland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Technical Fellow, Job Seeker",Australia,Indeed,295000,241000,349000,5001 to 10000 Employees,Company - Private,Information Technology,2004.0,Internet & Web Services,$2 to $5 billion (USD),4.4,90.0,94.0,1020.0,4.1,4.3,4.5,4.1,4.5,Australia,Queensland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Senior BI Engineer,Brisbane,Michael Hill,99126,80000,123000,1001 to 5000 Employees,Company - Public,Retail & Wholesale,1979.0,Beauty & Personal Accessories Stores,$100 to $500 million (USD),3.4,57.0,77.0,54.0,3.4,3.5,3.5,3.1,2.9,Australia,Queensland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Advisor,Brisbane,CSIRO,106500,102000,111000,5001 to 10000 Employees,Government,Government & Public Administration,1926.0,National Services & Agencies,$500 million to $1 billion (USD),3.8,68.0,58.0,145.0,3.4,3.4,3.5,3.0,4.1,Australia,Queensland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Brisbane,GHD,108936,104000,114000,5001 to 10000 Employees,Company - Private,Management & Consulting,1928.0,Business Consulting,$1 to $2 billion (USD),3.7,74.0,73.0,362.0,3.6,3.1,3.7,3.4,3.5,Australia,Queensland,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Strategy Manager,Brisbane,CSIRO,127500,117000,138000,5001 to 10000 Employees,Government,Government & Public Administration,1926.0,National Services & Agencies,$500 million to $1 billion (USD),3.8,68.0,58.0,145.0,3.4,3.4,3.5,3.0,4.1,Australia,Queensland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,Brisbane,Deloitte,155662,142000,171000,10000+ Employees,Company - Private,Finance,1850.0,Accounting & Tax,$10+ billion (USD),4.0,82.0,87.0,10725.0,4.1,3.6,4.0,3.7,3.2,Australia,Queensland,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Machine Learning Engineer,Brisbane,Deloitte,80000,80000,80000,10000+ Employees,Company - Private,Finance,1850.0,Accounting & Tax,$10+ billion (USD),4.0,82.0,87.0,10725.0,4.1,3.6,4.0,3.7,3.2,Australia,Queensland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Advisor,Brisbane,CSIRO,106500,102000,111000,5001 to 10000 Employees,Government,Government & Public Administration,1926.0,National Services & Agencies,$500 million to $1 billion (USD),3.8,68.0,58.0,145.0,3.4,3.4,3.5,3.0,4.1,Australia,Queensland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
